dataset,model,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,rank_test_recall
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9850267379679144,0.010369368678965402,0.9843076923076923,0.01922522997146254,0.9788070175438597,0.010685002707358735,0.9814717429480753,0.012844041402805158,0.999073359073359,0.001090174165555512,31
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9850267379679144,0.01090699361196317,0.9769848463181796,0.021160381546324,0.9867368421052631,0.01681049665488601,0.981638464376176,0.013356822381287284,0.9987655625550362,0.0012318673681891922,3
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9871657754010694,0.011011369134745454,0.9844050632911392,0.019110553814702252,0.9840701754385964,0.015501625725165571,0.984120083712203,0.01368628414726654,0.9992397209239314,0.0008847221076982137,20
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 10}",0.9860962566844919,0.011011369134745447,0.9796515129848462,0.022974824630938626,0.9867368421052631,0.01681049665488601,0.9829453076432841,0.013464761891489669,0.9988841021472599,0.0012546271034773629,3
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 20}",0.9882352941176471,0.011909656391080261,0.9868051948051948,0.016757897270571195,0.9841052631578947,0.015507660514276128,0.9854117647058824,0.01482000165512997,0.9992162162162161,0.0009776331507207595,7
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 10}",0.9860962566844919,0.011011369134745447,0.9796515129848462,0.022974824630938626,0.9867368421052631,0.01681049665488601,0.9829453076432841,0.013464761891489669,0.9989080132764343,0.0011558417255505386,3
Data1,HistGradientBoosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.1, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}",0.9871657754010694,0.011011369134745454,0.9842077922077921,0.015468312104834705,0.9841052631578947,0.015507660514276128,0.9841045751633988,0.013723274019651666,0.9992635304477411,0.000902669047201103,7
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",0.9828877005347593,0.011909656391080265,0.9789013385855491,0.015798517477428154,0.9788070175438597,0.018097033353276348,0.9787867050945408,0.01492764810965801,0.99863516900359,0.001074234149735858,12
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}",0.983957219251337,0.010146345433695329,0.9790094466936573,0.015666405279960736,0.9814736842105264,0.013584250290526846,0.9801826782489034,0.012597252075661865,0.998777721330353,0.0009733296534343817,8
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.9786096256684491,0.014742298130577756,0.9739465402677372,0.022613949809584578,0.9735087719298245,0.023832543943432368,0.9735145415410317,0.018398694050318423,0.9980291946081421,0.0014186774921657321,22
Data1,RandomForest,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 400}",0.9796791443850268,0.014896671954207597,0.973982576303773,0.02263403853229999,0.9761403508771929,0.022964369473434346,0.9748743649405901,0.01858535980677075,0.9980767120503963,0.0013634764231049829,19
